gnr;jahr;dim;wert
867;1981;21;-14.45
867;1981;22;-0.99
868;1981;21;-6.33
868;1981;22;10.07
869;1981;21;-6.81
869;1981;22;-1.63
870;1981;21;4.85
870;1981;22;4.66
872;1981;21;-6.28
872;1981;22;9.80
873;1981;21;-11.49
873;1981;22;3.32
874;1981;21;-13.64
874;1981;22;15.33
875;1981;21;-6.06
875;1981;22;13.21
876;1981;21;-2.06
876;1981;22;-1.92
877;1981;21;-7.71
877;1981;22;9.45
878;1981;21;-5.50
878;1981;22;7.77
879;1981;21;-6.06
879;1981;22;8.13
880;1981;21;-12.75
880;1981;22;8.63
881;1981;21;-8.12
881;1981;22;10.29
883;1981;21;-3.56
883;1981;22;-1.58
884;1981;21;-3.56
884;1981;22;1.68
885;1981;21;-10.12
885;1981;22;-1.87
886;1981;21;-13.86
886;1981;22;0.38
888;1981;21;-7.76
888;1981;22;9.38
901;1981;21;-12.87
901;1981;22;14.80
902;1981;21;-2.69
902;1981;22;3.04
903;1981;21;-11.99
903;1981;22;7.75
904;1981;21;-12.00
904;1981;22;17.00
905;1981;21;-11.05
905;1981;22;8.83
906;1981;21;-17.83
906;1981;22;14.66
907;1981;21;-11.34
907;1981;22;6.90
908;1981;21;-7.73
908;1981;22;12.10
909;1981;21;-8.88
909;1981;22;9.72
921;1981;21;-10.34
921;1981;22;6.39
922;1981;21;-13.38
922;1981;22;5.03
923;1981;21;-15.23
923;1981;22;14.66
924;1981;21;-20.71
924;1981;22;19.07
925;1981;21;-15.34
925;1981;22;9.84
927;1981;21;-4.84
927;1981;22;3.70
928;1981;21;-9.75
928;1981;22;4.86
929;1981;21;-0.67
929;1981;22;4.80
931;1981;21;-19.03
931;1981;22;12.21
932;1981;21;-15.54
932;1981;22;10.96
934;1981;21;0.50
934;1981;22;3.29
935;1981;21;-22.54
935;1981;22;13.47
936;1981;21;-5.71
936;1981;22;7.44
937;1981;21;-14.68
937;1981;22;9.86
938;1981;21;-12.58
938;1981;22;8.97
939;1981;21;-3.88
939;1981;22;3.08
940;1981;21;-25.03
940;1981;22;16.84
941;1981;21;-6.44
941;1981;22;1.91
942;1981;21;-1.10
942;1981;22;1.36
943;1981;21;-16.26
943;1981;22;5.78
944;1981;21;-5.62
944;1981;22;2.37
945;1981;21;-13.35
945;1981;22;8.32
946;1981;21;-20.11
946;1981;22;18.40
947;1981;21;-5.07
947;1981;22;3.94
948;1981;21;-11.91
948;1981;22;4.50
951;1981;21;-8.78
951;1981;22;10.26
952;1981;21;-13.67
952;1981;22;5.31
953;1981;21;-11.76
953;1981;22;8.55
954;1981;21;-6.66
954;1981;22;7.21
955;1981;21;-11.74
955;1981;22;7.12
956;1981;21;-12.75
956;1981;22;8.10
957;1981;21;-8.51
957;1981;22;9.70
958;1981;21;-15.32
958;1981;22;8.95
959;1981;21;-17.30
959;1981;22;10.89
960;1981;21;-12.74
960;1981;22;10.90
971;1981;21;-9.79
971;1981;22;0.98
972;1981;21;-21.73
972;1981;22;10.35
973;1981;21;-8.38
973;1981;22;7.53
975;1981;21;-1.73
975;1981;22;4.45
976;1981;21;-6.76
976;1981;22;9.31
977;1981;21;-10.54
977;1981;22;4.76
978;1981;21;-15.64
978;1981;22;5.21
979;1981;21;-2.05
979;1981;22;4.50
980;1981;21;-12.02
980;1981;22;0.45
981;1981;21;-9.41
981;1981;22;2.13
982;1981;21;-8.65
982;1981;22;4.47
983;1981;21;-10.87
983;1981;22;4.32
985;1981;21;-9.16
985;1981;22;10.68
987;1981;21;-16.49
987;1981;22;-3.04
988;1981;21;-6.60
988;1981;22;6.18
989;1981;21;-13.97
989;1981;22;8.61
990;1981;21;-16.48
990;1981;22;2.61
991;1981;21;-17.17
991;1981;22;-7.42
992;1981;21;-3.54
992;1981;22;7.56
993;1981;21;-10.60
993;1981;22;-1.78
995;1981;21;-8.41
995;1981;22;-0.04
996;1981;21;-15.40
996;1981;22;8.15
1001;1981;21;-17.27
1001;1981;22;13.89
1002;1981;21;-9.99
1002;1981;22;11.09
1004;1981;21;-3.85
1004;1981;22;16.59
1005;1981;21;-9.83
1005;1981;22;9.72
1007;1981;21;-9.61
1007;1981;22;14.36
1008;1981;21;-7.00
1008;1981;22;9.47
1009;1981;21;-8.17
1009;1981;22;6.84
1010;1981;21;-14.30
1010;1981;22;13.09
1021;1981;21;-9.40
1021;1981;22;16.77
1022;1981;21;-9.05
1022;1981;22;9.59
1023;1981;21;-5.13
1023;1981;22;11.38
1024;1981;21;-6.16
1024;1981;22;-2.27
1025;1981;21;-6.31
1025;1981;22;15.58
1026;1981;21;-3.73
1026;1981;22;9.36
1030;1981;21;-4.15
1030;1981;22;9.40
1031;1981;21;1.72
1031;1981;22;7.77
1032;1981;21;-4.38
1032;1981;22;12.33
1033;1981;21;-8.80
1033;1981;22;10.49
1037;1981;21;-3.72
1037;1981;22;16.29
1039;1981;21;-8.23
1039;1981;22;15.60
1040;1981;21;-4.39
1040;1981;22;3.05
1041;1981;21;-16.50
1041;1981;22;15.69
