"jahr";"kt";"Partei";"Wert"
2007;"GE";"2";9,685728
2011;"GE";"2";9,528898
1971;"GL";"2";0
1975;"GL";"2";0
1979;"GL";"2";0
1983;"GL";"2";0
1987;"GL";"2";0
1991;"GL";"2";0
1995;"GL";"2";0
1999;"GL";"2";0
2003;"GL";"2";0
2007;"GL";"2";0
2011;"GL";"2";0
1971;"GR";"2";37,273539
1975;"GR";"2";35,903846
1979;"GR";"2";35,506847
1983;"GR";"2";33,297276
1987;"GR";"2";28,490945
1991;"GR";"2";25,56625
1995;"GR";"2";26,936996
1999;"GR";"2";25,587707
2003;"GR";"2";23,711957
2007;"GR";"2";20,348968
2011;"GR";"2";16,697106
1971;"JU";"2";35,270136
1975;"JU";"2";33,314868
