kt;jahr;dim;wert
"BL";1997;22;0.18
"BS";1997;21;5.22
"BS";1997;22;-5.11
"FR";1997;21;1.81
"FR";1997;22;-4.82
"GE";1997;21;8.82
"GE";1997;22;-11.98
"GL";1997;21;-7.09
"GL";1997;22;6.25
"GR";1997;21;-1.79
"GR";1997;22;2.45
"JU";1997;21;2.85
"JU";1997;22;-17.10
"LU";1997;21;-2.63
"LU";1997;22;4.88
"NE";1997;21;4.74
"NE";1997;22;-10.56
"NW";1997;21;-4.36
"NW";1997;22;8.26
"OW";1997;21;-4.81
"OW";1997;22;8.26
"SG";1997;21;-4.23
"SG";1997;22;5.53
"SH";1997;21;-4.79
"SH";1997;22;1.41
"SO";1997;21;-3.10
"SO";1997;22;1.59
"SZ";1997;21;-10.17
"SZ";1997;22;7.61
"TG";1997;21;-6.80
"TG";1997;22;6.27
"TI";1997;21;-4.42
"TI";1997;22;-9.19
"UR";1997;21;-8.68
"UR";1997;22;2.50
"VD";1997;21;6.77
"VD";1997;22;-6.77
"VS";1997;21;-3.02
"VS";1997;22;-3.53
"ZG";1997;21;0.26
"ZG";1997;22;5.68
"ZH";1997;21;2.46
"ZH";1997;22;2.01
"AG";1998;21;-3.88
"AG";1998;22;5.88
"AI";1998;21;-9.96
"AI";1998;22;12.64
"AR";1998;21;-4.87
"AR";1998;22;6.09
"BE";1998;21;0.71
"BE";1998;22;0.64
"BL";1998;21;2.22
"BL";1998;22;0.58
"BS";1998;21;5.28
"BS";1998;22;-4.74
"FR";1998;21;1.77
"FR";1998;22;-5.09
"GE";1998;21;8.42
"GE";1998;22;-12.04
"GL";1998;21;-7.33
"GL";1998;22;6.22
"GR";1998;21;-1.94
"GR";1998;22;2.52
"JU";1998;21;2.59
"JU";1998;22;-17.12
"LU";1998;21;-2.46
"LU";1998;22;4.96
"NE";1998;21;4.57
"NE";1998;22;-10.96
"NW";1998;21;-4.37
"NW";1998;22;8.39
"OW";1998;21;-4.65
"OW";1998;22;8.20
"SG";1998;21;-4.33
"SG";1998;22;5.71
"SH";1998;21;-4.74
"SH";1998;22;1.35
"SO";1998;21;-2.87
"SO";1998;22;1.83
"SZ";1998;21;-10.00
"SZ";1998;22;7.81
"TG";1998;21;-6.73
"TG";1998;22;6.35
"TI";1998;21;-4.75
"TI";1998;22;-9.12
"UR";1998;21;-8.50
"UR";1998;22;2.51
"VD";1998;21;6.51
"VD";1998;22;-7.38
"VS";1998;21;-3.18
"VS";1998;22;-4.10
"ZG";1998;21;0.33
"ZG";1998;22;6.04
"ZH";1998;21;2.48
"ZH";1998;22;2.15
"AG";1999;21;-3.81
"AG";1999;22;5.87
"AI";1999;21;-9.89
"AI";1999;22;12.52
"AR";1999;21;-4.71
"AR";1999;22;6.14
"BE";1999;21;0.87
"BE";1999;22;0.58
"BL";1999;21;2.19
"BL";1999;22;0.84
"BS";1999;21;5.30
"BS";1999;22;-4.54
"FR";1999;21;1.77
"FR";1999;22;-5.30
"GE";1999;21;7.98
"GE";1999;22;-12.06
"GL";1999;21;-7.56
"GL";1999;22;6.17
"GR";1999;21;-2.09
"GR";1999;22;2.56
"JU";1999;21;2.33
"JU";1999;22;-17.08
"LU";1999;21;-2.31
"LU";1999;22;5.03
"NE";1999;21;4.51
"NE";1999;22;-11.20
"NW";1999;21;-4.36
"NW";1999;22;8.55
"OW";1999;21;-4.54
"OW";1999;22;8.17
"SG";1999;21;-4.43
"SG";1999;22;5.84
"SH";1999;21;-4.70
"SH";1999;22;1.27
"SO";1999;21;-2.66
"SO";1999;22;2.04
"SZ";1999;21;-9.86
"SZ";1999;22;8.01
"TG";1999;21;-6.64
"TG";1999;22;6.44
"TI";1999;21;-5.13
"TI";1999;22;-9.04
"UR";1999;21;-8.32
"UR";1999;22;2.53
"VD";1999;21;6.35
"VD";1999;22;-7.86
"VS";1999;21;-3.34
"VS";1999;22;-4.48
"ZG";1999;21;0.37
"ZG";1999;22;6.39
"ZH";1999;21;2.49
"ZH";1999;22;2.25
"AG";2000;21;-3.74
"AG";2000;22;5.87
"AI";2000;21;-9.80
"AI";2000;22;12.36
"AR";2000;21;-4.54
